root@iZwz926s6w2txboh71489qZ:~/bin# QOS=0   # 0/1/2
SIZE=256
N=4000  # N 对（按需调整）

# sub：每个连接订阅一个唯一 topic：bench/nn/1 .. bench/nn/N
1m1s connect_succ total=3985 rate=0.50/sec
1m2s sub total=3986 rate=1.00/sec
1m2s connect_succ total=3986 rate=1.00/sec
1m3s sub total=3987 rate=1.00/sec
1m3s connect_succ total=3987 rate=1.00/sec
1m5s sub total=3988 rate=0.50/sec
1m5s connect_succ total=3988 rate=0.50/sec
1m6s sub total=3989 rate=1.00/sec
1m6s connect_succ total=3989 rate=1.00/sec
1m7s sub total=3990 rate=1.00/sec
1m7s connect_succ total=3990 rate=1.00/sec
1m8s sub total=3991 rate=1.00/sec
1m8s connect_succ total=3991 rate=1.00/sec
1m10s sub total=3992 rate=0.50/sec
1m10s connect_succ total=3992 rate=0.50/sec
1m11s sub total=3993 rate=1.00/sec
1m11s connect_succ total=3993 rate=1.00/sec
1m12s sub total=3994 rate=1.00/sec
1m12s connect_succ total=3994 rate=1.00/sec
1m14s sub total=3995 rate=0.50/sec
1m14s connect_succ total=3995 rate=0.50/sec
1m15s sub total=3996 rate=1.00/sec
1m15s connect_succ total=3996 rate=1.00/sec
1m16s sub total=3997 rate=1.00/sec
1m16s connect_succ total=3997 rate=1.00/sec
1m17s sub total=3998 rate=1.00/sec
1m17s connect_succ total=3998 rate=1.00/sec
1m19s sub total=3999 rate=0.50/sec
1m19s connect_succ total=3999 rate=0.50/sec
1m20s sub total=4000 rate=1.00/sec
1m20s connect_succ total=4000 rate=1.00/sec
2m6s recv total=6016 rate=47.74/sec
2m7s recv total=17608 rate=11592.00/sec
2m8s recv total=35270 rate=17662.00/sec
2m9s recv total=59080 rate=23810.00/sec
2m10s recv total=90480 rate=31400.00/sec
2m11s recv total=127283 rate=36803.00/sec
2m12s recv total=170151 rate=42868.00/sec
2m13s recv total=218547 rate=48396.00/sec
2m14s recv total=274617 rate=56070.00/sec
2m15s recv total=336773 rate=62156.00/sec
2m16s recv total=404770 rate=67997.00/sec
2m17s recv total=478597 rate=73827.00/sec
2m18s recv total=558498 rate=79901.00/sec
2m19s recv total=646149 rate=87651.00/sec
2m20s recv total=739232 rate=93083.00/sec
2m21s recv total=838443 rate=99211.00/sec
2m22s recv total=943010 rate=104567.00/sec
2m23s recv total=1055132 rate=112122.00/sec
2m24s recv total=1173538 rate=118406.00/sec
2m25s recv total=1297807 rate=124269.00/sec
2m26s recv total=1427853 rate=130046.00/sec
2m27s recv total=1563826 rate=135973.00/sec
2m28s recv total=1707660 rate=143834.00/sec
2m29s recv total=1857072 rate=149412.00/sec
2m30s recv total=2012413 rate=155341.00/sec
2m31s recv total=2173362 rate=160949.00/sec
2m32s recv total=2341374 rate=168012.00/sec
2m33s recv total=2516067 rate=174693.00/sec
2m34s recv total=2696556 rate=180489.00/sec
2m35s recv total=2882770 rate=186214.00/sec
2m36s recv total=3074803 rate=192033.00/sec
2m37s recv total=3206731 rate=131928.00/sec
2m38s recv total=3352893 rate=146162.00/sec
2m39s recv total=3517812 rate=164919.00/sec
2m40s recv total=3670401 rate=152589.00/sec
2m41s recv total=3816505 rate=146104.00/sec
2m42s recv total=3959775 rate=143270.00/sec
2m43s recv total=4108050 rate=148275.00/sec
2m44s recv total=4259130 rate=151080.00/sec
2m45s recv total=4416233 rate=157103.00/sec
2m46s recv total=4578983 rate=162750.00/sec
